City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bata,GQ,1.8639,9.7658,78.96,87,55,4.25,broken clouds
79,Guerrero Negro,MX,27.9769,-114.0611,75.02,29,100,8.08,overcast clouds
80,Dhidhdhoo,MV,6.8833,73.1,81.14,74,88,8.14,overcast clouds
81,Port Alfred,ZA,-33.5906,26.891,74.98,92,46,11.9,scattered clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,-31.72,97,17,1.14,few clouds
83,Tubinskiy,RU,52.8892,58.2225,10.54,100,75,4.16,broken clouds
84,Bambous Virieux,MU,-20.3428,57.7575,76.21,86,36,13.13,moderate rain
85,Jamame,SO,0.0722,42.7506,73.56,86,59,6.73,broken clouds
86,Katsuura,JP,35.1333,140.3,43.2,60,71,3.94,broken clouds
87,Walvis Bay,NA,-22.9575,14.5053,71.1,77,78,3.4,light rain
88,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,89,100,10.13,overcast clouds
89,Mount Isa,AU,-20.7333,139.5,87.57,58,40,8.05,scattered clouds
90,Cidreira,BR,-30.1811,-50.2056,74.53,81,4,20.15,clear sky
91,Seybaplaya,MX,19.65,-90.6667,76.46,85,48,10.92,scattered clouds
92,Yellowknife,CA,62.456,-114.3525,-9.58,85,86,8.99,overcast clouds
93,Albany,US,42.6001,-73.9662,34.65,67,53,3.0,broken clouds
94,Barrow,US,71.2906,-156.7887,-30.98,98,0,10.36,clear sky
95,Carnarvon,AU,-24.8667,113.6333,86.07,62,78,6.91,broken clouds
96,Qaanaaq,GL,77.484,-69.3632,-19.25,48,0,8.77,clear sky
97,Chuy,UY,-33.6971,-53.4616,67.75,95,94,8.55,overcast clouds
98,Kodiak,US,57.79,-152.4072,38.71,65,20,8.05,few clouds
99,Adrar,MR,20.5022,-10.0711,62.13,26,72,11.1,broken clouds
100,Araouane,ML,18.9048,-3.5265,62.22,17,3,10.76,clear sky
101,Touros,BR,-5.1989,-35.4608,79.61,79,34,9.1,scattered clouds
102,Luba,GQ,3.4568,8.5547,80.01,82,82,6.38,light rain
103,Tynda,RU,55.1667,124.7167,-23.13,92,31,2.53,scattered clouds
104,Hay River,CA,60.8156,-115.7999,2.23,96,97,9.1,light snow
105,Rocky Mountain House,CA,52.3668,-114.9188,38.21,57,64,4.03,broken clouds
106,Tottori,JP,35.5,134.2333,32.0,68,100,4.12,overcast clouds
107,Saint Anthony,US,45.0205,-93.218,6.26,62,100,4.61,overcast clouds
108,Faanui,PF,-16.4833,-151.75,80.91,74,83,11.7,broken clouds
109,San Jose,US,37.3394,-121.895,83.75,35,20,6.91,few clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,76.55,90,72,1.01,broken clouds
111,Srednekolymsk,RU,67.45,153.6833,-26.39,96,91,7.05,overcast clouds
112,Road Town,VG,18.4167,-64.6167,73.99,94,75,10.36,broken clouds
113,Tibati,CM,6.4667,12.6333,65.53,22,52,2.98,broken clouds
114,Moose Factory,CA,51.2585,-80.6094,-22.04,97,54,4.27,broken clouds
115,Inhambane,MZ,-23.865,35.3833,74.3,76,6,8.16,clear sky
116,Kahului,US,20.8947,-156.47,82.42,61,40,17.27,scattered clouds
117,Mogadishu,SO,2.0371,45.3438,76.44,79,94,19.37,overcast clouds
118,Caronport,CA,50.4501,-105.8179,11.68,84,35,3.51,scattered clouds
119,Hermanus,ZA,-34.4187,19.2345,67.89,80,99,6.38,overcast clouds
120,Dikson,RU,73.5069,80.5464,-4.04,87,100,25.97,overcast clouds
121,Nikolskoye,RU,59.7035,30.7861,35.49,98,100,10.69,light snow
122,Charlestown,AU,-32.95,151.6667,73.11,73,94,4.0,overcast clouds
123,Marsh Harbour,BS,26.5412,-77.0636,75.25,83,13,7.9,few clouds
124,Maceio,BR,-9.6658,-35.7353,80.44,79,0,12.97,clear sky
125,Malim,PH,7.452,123.4312,79.29,81,100,5.66,overcast clouds
126,George,ZA,-33.963,22.4617,67.55,94,100,3.44,overcast clouds
127,Talnakh,RU,69.4865,88.3972,-9.06,77,21,9.42,few clouds
128,Anadyr,RU,64.75,177.4833,-33.03,95,65,8.57,broken clouds
129,San Quintin,MX,30.4833,-115.95,71.15,37,88,7.85,overcast clouds
130,Raduzhnyy,RU,62.0961,77.475,-7.58,96,8,9.19,clear sky
131,Torbay,CA,47.6666,-52.7314,46.76,82,95,7.0,overcast clouds
132,Grand Gaube,MU,-20.0064,57.6608,76.37,87,9,5.01,moderate rain
133,Grindavik,IS,63.8424,-22.4338,21.67,73,0,3.44,clear sky
134,Lebu,CL,-37.6167,-73.65,59.36,86,52,9.08,broken clouds
135,Temiscaming,CA,46.7212,-79.0971,-14.13,96,93,4.0,overcast clouds
136,Yulara,AU,-25.2406,130.9889,84.04,23,1,8.05,clear sky
137,Westport,US,41.1415,-73.3579,52.75,49,0,12.66,clear sky
