City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Komsomolskiy,UZ,38.62,fog,40.4272,71.7189,Ikathouse
317,Sur,OM,68.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
319,Phon Thong,TH,72.41,scattered clouds,16.3016,103.9768,ตอตอมอมอ
320,Abu Kamal,SY,49.82,clear sky,34.4506,40.9171,محطة التلفاز
321,Angoche,MZ,75.27,light rain,-16.2325,39.9086,Guest House HESADA
322,Dubai,AE,71.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
324,Paramonga,PE,71.91,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
327,Dunedin,NZ,52.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
328,Christchurch,NZ,53.94,overcast clouds,-43.5333,172.6333,The George
329,San Blas,MX,77.54,clear sky,21.5167,-105.2667,Hotel Posada del Rey
330,Semnan,IR,41.05,clear sky,35.5729,53.3971,Semnan Tourist Hotel
331,Narsaq,GL,30.42,light snow,60.9167,-46.05,Sleep In Narsaq
332,Kropotkin,RU,37.22,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
334,Shenjiamen,CN,46.81,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
336,Kenai,US,37.49,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
337,San Juan,AR,70.72,clear sky,-31.5375,-68.5364,Hotel Provincial
342,Fukuma,JP,46.29,light rain,33.7667,130.4667,Masago
343,Namibe,AO,74.66,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
344,Kidal,ML,67.26,clear sky,18.4411,1.4078,
346,Zabid,YE,73.71,overcast clouds,14.1951,43.3152,مغرب التريبه
349,Miles City,US,38.52,few clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
350,Ocotepec,MX,59.34,broken clouds,17.2167,-93.15,Escuela Angel Albino Corzo
352,Aswan,EG,55.8,clear sky,24.0934,32.907,Nuba Nile
353,Tursunzoda,TJ,43.68,overcast clouds,38.5144,68.2333,Osoishgokhi Tabobati
354,Caravelas,BR,76.87,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
355,Ende,ID,79.86,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
356,Kocerin,BA,33.71,overcast clouds,43.3897,17.485,Pratarska pećina
357,Saint-Joseph,RE,77.36,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
359,Lovington,US,44.02,scattered clouds,32.944,-103.3485,Buena vida rv parks
361,La Asuncion,VE,76.15,few clouds,11.0333,-63.8628,Colinas de Matasiete
362,Vila Nova De Milfontes,PT,54.25,overcast clouds,37.7238,-8.7828,Casazul
363,Bang Saphan,TH,73.38,scattered clouds,11.2126,99.5117,Ladawan Boutique Hotel
364,Hassleholm,SE,35.44,overcast clouds,56.1591,13.7664,Göingehof
365,Bondo,CD,70.9,broken clouds,3.8146,23.6866,
366,Soe,ID,71.85,broken clouds,-9.8607,124.284,Dena Hotel
368,Sumbawanga,TZ,58.01,overcast clouds,-7.9667,31.6167,Matamba II Guest House
369,Redmond,US,58.46,clear sky,47.674,-122.1215,Seattle Marriott Redmond
371,Safita,SY,44.51,clear sky,34.8205,36.1153,Safita Cham Hotel
374,Ulladulla,AU,78.87,few clouds,-35.35,150.4667,Sandpiper Motel
377,Ascension,US,66.2,overcast clouds,30.2169,-90.9001,Highland Inn
380,Tucupita,VE,73.98,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
381,La Rioja,ES,40.05,overcast clouds,42.25,-2.5,Casa Concejos
382,Beloha,MG,73.42,clear sky,-25.1667,45.05,
385,Tomohon,ID,67.14,overcast clouds,1.3346,124.8392,Gardenia Country Inn
388,Roald,NO,41.14,overcast clouds,62.5833,6.1333,Flem Cabins
392,Sibu,MY,72.45,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
393,Jian,CN,43.9,overcast clouds,27.1172,114.9793,Luling International Hotel
394,Hudiksvall,SE,35.01,overcast clouds,61.729,17.1036,Best Western Hotell Hudik
395,Altamira,BR,73.11,broken clouds,-3.2033,-52.2064,Requinte Hotel
396,Livingston,GB,44.85,clear sky,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
398,Sorland,NO,33.04,snow,67.667,12.6934,Sjybrygga fiskecamp
399,El Reno,US,39.38,clear sky,35.5323,-97.955,Home2 Suites by Hilton El Reno
400,Axim,GH,78.44,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
402,Kagalnitskaya,RU,34.66,overcast clouds,46.8806,40.1466,maliovka
406,Potoru,SL,72.84,few clouds,7.5072,-11.4786,
407,Lagos,NG,77.52,scattered clouds,6.5833,3.75,
408,Vinukonda,IN,66.69,broken clouds,16.05,79.75,VLS Residency
410,Erzin,TR,41.72,broken clouds,36.9559,36.2,Artemis Otel
411,Te Anau,NZ,48.92,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
414,Kawambwa,ZM,62.47,light rain,-9.7915,29.0791,Chembe Nsofu
416,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
417,Bilma,NE,62.08,clear sky,18.6853,12.9164,Expeditions Ténére voyages
420,Hambantota,LK,75.97,moderate rain,6.1241,81.1185,Bungalow 63
421,Miandrivazo,MG,79.0,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
422,Zemio,CF,73.4,overcast clouds,5.0314,25.1361,OCHA Office
424,Seoul,KR,36.84,overcast clouds,37.5683,126.9778,LOTTE Hotel Seoul
425,Tiznit,MA,57.02,few clouds,29.5833,-9.5,
427,Avera,US,62.47,overcast clouds,33.194,-82.5271,
428,Sutesti,RO,33.44,scattered clouds,45.2167,27.4333,
429,Waverley,ZA,69.4,broken clouds,-25.7023,28.2591,Aves Indigo Guesthouse
431,Pawai,IN,53.29,clear sky,24.2667,80.1667,parth Palace Pawai
432,Le Vauclin,MQ,78.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
433,Orcopampa,PE,41.76,moderate rain,-15.2661,-72.3417,Happy Wasi
435,Portland,US,64.81,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
436,Sao Filipe,CV,77.47,overcast clouds,14.8961,-24.4956,Hotel Xaguate
437,Gualeguaychu,AR,64.85,scattered clouds,-33.0094,-58.5172,Hotel Los Angeles
438,Akdepe,TM,33.8,few clouds,42.0551,59.3788,
439,Chapulhuacan,MX,63.95,overcast clouds,21.1667,-98.9,Posada HEIDI
441,Karwar,IN,72.3,clear sky,14.8,74.1333,Netalco Connects
442,Cockburn Town,TC,77.47,clear sky,21.4612,-71.1419,Osprey Beach Hotel
443,Birao,CF,68.16,broken clouds,10.2849,22.7882,
446,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,ibis Balikpapan
447,Vazante,BR,66.97,broken clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
451,Watsa,CD,68.05,scattered clouds,3.0372,29.5355,Hôtel Le Pacifique
452,Coquimbo,CL,66.04,clear sky,-29.9533,-71.3436,Hostel Del Puerto
453,Tucuma,BR,76.19,broken clouds,-0.1833,-50.05,
454,Cintalapa,MX,73.63,clear sky,16.6951,-93.7272,Casa Blanca Hotel Hacienda
455,Buraydah,SA,48.33,clear sky,26.326,43.975,فندق راحة السلام
456,Marzuq,YE,61.14,scattered clouds,14.4,46.4667,
457,Shillong,IN,34.83,clear sky,25.5689,91.8831,Cafe Shillong Bed and Breakfast
461,Haines Junction,CA,32.07,few clouds,60.7522,-137.5108,Parkside Inn
463,Tucson,US,79.18,clear sky,32.2217,-110.9265,DoubleTree by Hilton Hotel Tucson - Reid Park
464,Mayumba,GA,77.72,light rain,-3.432,10.6554,LIKWALE LODGE
465,Maarianhamina,AX,35.46,overcast clouds,60.0973,19.9348,Park Alandia Hotel
466,San Isidro,PE,76.01,broken clouds,-12.1167,-77.05,Soul Mate-Inn
467,Bushenyi,UG,60.26,overcast clouds,-0.5853,30.2114,College View Guest House
470,Phonhong,LA,67.82,overcast clouds,18.5007,102.4166,Manyvong Guest House
472,Micheweni,TZ,78.42,broken clouds,-4.9667,39.8333,
474,Mantua,IT,39.18,clear sky,45.1667,10.7833,Hotel la Favorita
475,Yarmouth,US,51.85,clear sky,41.7057,-70.2286,Blue Rock Resort
476,Ngunguru,NZ,75.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
477,Saint-Francois,FR,31.41,broken clouds,46.4154,3.9054,Manoir Du Bonheur
480,Gushikawa,JP,70.83,broken clouds,26.3544,127.8686,Kirari Guest House
481,Salalah,OM,73.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
483,Kushima,JP,55.44,overcast clouds,31.4583,131.2333,Hanaoka
484,El Carmen,CO,70.66,broken clouds,8.5106,-73.4478,Hotel La Casona
485,San Carlos De Bariloche,AR,67.24,overcast clouds,-41.1456,-71.3082,Hotel Patagonia
487,Kalulushi,ZM,58.53,broken clouds,-12.8378,28.0919,Nobutula Lodge
488,Sao Jose Da Coroa Grande,BR,79.68,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
489,Berekum,GH,75.7,broken clouds,7.4534,-2.584,Nyame Nnae Hotel
490,Moroni,KM,77.92,light rain,-11.7022,43.2551,Hotel les Arcades
491,Porbandar,IN,66.76,clear sky,21.6422,69.6093,Lords Inn Porbandar
493,Mao,ES,48.76,clear sky,39.8885,4.2658,ARTIEM Capri
494,Thai Binh,VN,62.6,overcast clouds,20.45,106.3333,Sweden Hotel
496,Galdar,ES,63.1,clear sky,28.147,-15.6502,Hostel Guide
501,Sola,VU,78.55,overcast clouds,-13.8833,167.55,Leumerus Bungalows
502,Svay Rieng,KH,75.36,broken clouds,11.0879,105.7993,Apsara guesthouse
503,Sinnar,SD,74.93,clear sky,13.5691,33.5672,هجو الطاهر
506,Privolnyy,RU,39.72,scattered clouds,44.0998,46.6587,
507,Ayia Anna,CY,53.6,clear sky,34.9399,33.4843,Anna Village Cyprus Bed and Breakfast
509,Coolum Beach,AU,78.12,broken clouds,-26.5333,153.1,Coolum Beach Resort
510,Atar,MR,66.79,scattered clouds,20.5169,-13.0499,Oumou Elghoura
511,Graham,US,57.02,clear sky,47.0529,-122.2943,Moxie Meadows Hostel
512,Arecibo,PR,76.1,scattered clouds,18.4724,-66.7157,Atlantic Sand Oasis
